palabra;definicion;grammatical;nivel2;tematica
sit;;Verbs irregular;Pre A1 Starters;School
buy;;verb;B1 Preliminar;Shopping
bat;;noun;B1 Preliminar;Sports & leisure
win;;verb;B1 Preliminar;Sports & leisure
DVD;;Nouns;A1 Movers;Sports & leisure
bat;;Nouns;A1 Movers;Sports & leisure
hop;;Verbs regular;A1 Movers;Sports & leisure
net;;Nouns;A1 Movers;Sports & leisure
ski;;Nouns;A1 Movers;Sports & leisure
air;;noun;B1 Preliminar;The Natural World
bee;;noun;B1 Preliminar;The Natural World
fur;;noun;B1 Preliminar;The Natural World
sun;;noun;B1 Preliminar;The Natural World
day;;noun;B1 Preliminar;Time
May;;Nouns;Pre A1 Starters;Time
ago;;Adverbs;A1 Movers;Time
day;;Nouns;Pre A1 Starters;Time
end;;Nouns;Pre A1 Starters;Time
for;;Prepositions;A1 Movers;Time
how;;Adverbs;A1 Movers;Time
the;;Determiners;Pre A1 Starters;Time
toy;;Nouns;Pre A1 Starters;Toys
bus;;Nouns;Pre A1 Starters;Transport
car;;Nouns;Pre A1 Starters;Transport
fly;;Nouns;A1 Movers;Transport
run;;Verbs irregular;Pre A1 Starters;Transport
due;;adjective;B1 Preliminar;Transport
far;;adverb;B1 Preliminar;Transport
bus;;noun;B1 Preliminar;Transport
cab;;noun;B1 Preliminar;Transport
car;;noun;B1 Preliminar;Transport
jet;;noun;B1 Preliminar;Transport
map;;noun;B1 Preliminar;Transport
way;;noun;B1 Preliminar;Transport
fly;;noun & verb;B1 Preliminar;Transport
icy;;adjective;B1 Preliminar;Weather
wet;;adjective;B1 Preliminar;Weather
dry;;adjective & verb;B1 Preliminar;Weather
fog;;noun;B1 Preliminar;Weather
fog;;Nouns;A2 Flyers;Weather
ice;;Nouns;A1 Movers;Weather
air;;Nouns;A1 Movers;Work
and;;Nouns;A2 Flyers;Work
job;;Nouns;A1 Movers;Work
pop;;Nouns;A2 Flyers;Work
sea;;Nouns;Pre A1 Starters;Work
sky;;Nouns;A1 Movers;Work
sun;;Nouns;Pre A1 Starters;Work
job;;noun;B1 Preliminar;Work
big;;adjective;B1 Preliminar;
fat;;adjective;B1 Preliminar;
low;;adjective;B1 Preliminar;
new;;adjective;B1 Preliminar;
raw;;adjective;B1 Preliminar;
shy;;adjective;B1 Preliminar;
all;;adjective & adverb & determiner & pronoum;B1 Preliminar;
few;;adjective & determiner & pronoum;B1 Preliminar;
top;;adjective & noun;B1 Preliminar;
own;;adjective & pronoum & verb;B1 Preliminar;
ago;;adverb;B1 Preliminar;
how;;adverb;B1 Preliminar;
not;;adverb;B1 Preliminar;
now;;adverb;B1 Preliminar;
out;;adverb;B1 Preliminar;
too;;adverb;B1 Preliminar;
why;;adverb;B1 Preliminar;
yes;;adverb;B1 Preliminar;
yet;;adverb;B1 Preliminar;
off;;adverb & preposition;B1 Preliminar;
and;;conjunction;B1 Preliminar;
but;;conjunction & prepositon;B1 Preliminar;
its;;determiner;B1 Preliminar;
our;;determiner;B1 Preliminar;
the;;determiner;B1 Preliminar;
any;;determiner & pronoum;B1 Preliminar;
her;;determiner & pronoum;B1 Preliminar;
his;;determiner & pronoum;B1 Preliminar;
one;;determiner & pronoum;B1 Preliminar;
may;;modal verb;B1 Preliminar;
can;;modal verb & noun;B1 Preliminar;
age;;noun;B1 Preliminar;
ant;;noun;B1 Preliminar;
bar;;noun;B1 Preliminar;
bit;;noun;B1 Preliminar;
boy;;noun;B1 Preliminar;
bug;;noun;B1 Preliminar;
cat;;noun;B1 Preliminar;
cod;;noun;B1 Preliminar;
cow;;noun;B1 Preliminar;
dad;;noun;B1 Preliminar;
dog;;noun;B1 Preliminar;
DVD;;noun;B1 Preliminar;
fee;;noun;B1 Preliminar;
gap;;noun;B1 Preliminar;
gum;;noun;B1 Preliminar;
gun;;noun;B1 Preliminar;
guy;;noun;B1 Preliminar;
hut;;noun;B1 Preliminar;
ink;;noun;B1 Preliminar;
jar;;noun;B1 Preliminar;
kid;;noun;B1 Preliminar;
law;;noun;B1 Preliminar;
lip;;noun;B1 Preliminar;
man;;noun;B1 Preliminar;
Mrs;;noun;B1 Preliminar;
mum;;noun;B1 Preliminar;
pen;;noun;B1 Preliminar;
pet;;noun;B1 Preliminar;
pig;;noun;B1 Preliminar;
pop;;noun;B1 Preliminar;
pot;;noun;B1 Preliminar;
rap;;noun;B1 Preliminar;
rug;;noun;B1 Preliminar;
sex;;noun;B1 Preliminar;
sir;;noun;B1 Preliminar;
son;;noun;B1 Preliminar;
spy;;noun;B1 Preliminar;
sum;;noun;B1 Preliminar;
tax;;noun;B1 Preliminar;
tin;;noun;B1 Preliminar;
tip;;noun;B1 Preliminar;
van;;noun;B1 Preliminar;
vet;;noun;B1 Preliminar;
war;;noun;B1 Preliminar;
aim;;noun & verb;B1 Preliminar;
cry;;noun & verb;B1 Preliminar;
end;;noun & verb;B1 Preliminar;
hit;;noun & verb;B1 Preliminar;
hug;;noun & verb;B1 Preliminar;
lie;;noun & verb;B1 Preliminar;
mix;;noun & verb;B1 Preliminar;
pay;;noun & verb;B1 Preliminar;
pin;;noun & verb;B1 Preliminar;
set;;noun & verb;B1 Preliminar;
ski;;noun & verb;B1 Preliminar;
use;;noun & verb;B1 Preliminar;
for;;preposition;B1 Preliminar;
per;;preposition;B1 Preliminar;
via;;preposition;B1 Preliminar;
him;;pronoum;B1 Preliminar;
she;;pronoum;B1 Preliminar;
who;;pronoum;B1 Preliminar;
you;;pronoum;B1 Preliminar;
add;;verb;B1 Preliminar;
dig;;verb;B1 Preliminar;
fix;;verb;B1 Preliminar;
get;;verb;B1 Preliminar;
jog;;verb;B1 Preliminar;
lay;;verb;B1 Preliminar;
let;;verb;B1 Preliminar;
owe;;verb;B1 Preliminar;
put;;verb;B1 Preliminar;
rob;;verb;B1 Preliminar;
see;;verb;B1 Preliminar;
sew;;verb;B1 Preliminar;
sit;;verb;B1 Preliminar;
try;;verb;B1 Preliminar;
act;;Verbs;A1 Movers;
add;;Verbs;Pre A1 Starters;
age;;Nouns;A1 Movers;
all;;Adjectives;A1 Movers;
any;;Determiners;A1 Movers;
app;;Nouns;A1 Movers;
bad;;Adjectives;A1 Movers;
bed;;Nouns;Pre A1 Starters;
big;;Adjectives;Pre A1 Starters;
bit;;Nouns;A1 Movers;
box;;Nouns;Pre A1 Starters;
but;;Conjunctions;Pre A1 Starters;
buy;;Verbs irregular;A1 Movers;
can;;Verbs irregular;Pre A1 Starters;
dry;;Adjectives;A1 Movers;
etc;;Nouns;A1 Movers;
far;;Adjectives;A1 Movers;
few;;Determiners;A2 Flyers;
fix;;Verbs regular;A1 Movers;
fun;;Nouns;Pre A1 Starters;
got;;Verbs irregular;A1 Movers;
her;;Pronouns;Pre A1 Starters;
him;;Pronouns;Pre A1 Starters;
his;;Pronouns;Pre A1 Starters;
hit;;Verbs irregular;Pre A1 Starters;
hot;;Adjectives;A1 Movers;
its;;Pronouns;Pre A1 Starters;
key;;Nouns;A1 Movers;
let;;Verbs irregular;A1 Movers;
lie;;Verbs;A2 Flyers;
lot;;Determiners;Pre A1 Starters;
low;;Adjectives;A2 Flyers;
mat;;Nouns;Pre A1 Starters;
may;;Modals;A1 Movers;
mix;;Verbs regular;A2 Flyers;
new;;Adjectives;Pre A1 Starters;
not;;Adverbs;Pre A1 Starters;
now;;Adverbs;Pre A1 Starters;
off;;Adverbs;A1 Movers;
one;;Determiners;Pre A1 Starters;
out;;Adverbs;A1 Movers;
put;;Verbs irregular;Pre A1 Starters;
rug;;Nouns;Pre A1 Starters;
sad;;Adjectives;Pre A1 Starters;
say;;Verbs irregular;Pre A1 Starters;
see;;Verbs irregular;Pre A1 Starters;
she;;Pronouns;Pre A1 Starters;
too;;Adverbs;Pre A1 Starters;
top;;Nouns;A1 Movers;
try;;Nouns;Pre A1 Starters;
use;;Verbs regular;A2 Flyers;
wet;;Adjectives;A1 Movers;
who;;Pronouns;A1 Movers;
why;;Question words;A1 Movers;
win;;Nouns;A2 Flyers;
yes;;Adverbs;Pre A1 Starters;
yet;;Adverbs;A2 Flyers;
you;;Pronouns;Pre A1 Starters;
back;;Adverbs;A1 Movers;Animals
bird;;Nouns;Pre A1 Starters;Animals
cage;;Nouns;A1 Movers;Animals
duck;;Nouns;Pre A1 Starters;Animals
face;;Nouns;Pre A1 Starters;Animals
fair;;Adjectives;A1 Movers;Animals
frog;;Nouns;Pre A1 Starters;Animals
goat;;Nouns;Pre A1 Starters;Animals
hair;;Nouns;Pre A1 Starters;Animals
hand;;Nouns;Pre A1 Starters;Animals
head;;Nouns;Pre A1 Starters;Animals
knee;;Nouns;A1 Movers;Animals
lion;;Nouns;A1 Movers;Animals
neck;;Nouns;A1 Movers;Animals
nest;;Nouns;A2 Flyers;Animals
nose;;Nouns;Pre A1 Starters;Animals
swan;;Nouns;A2 Flyers;Animals
tail;;Nouns;Pre A1 Starters;Animals
thin;;Adjectives;A1 Movers;Animals
wild;;Adjectives;A2 Flyers;Animals
wing;;Nouns;A2 Flyers;Animals
belt;;Nouns;A1 Movers;Clothes
coat;;Nouns;A1 Movers;Clothes
ring;;Nouns;A1 Movers;Clothes
shoe;;Nouns;Pre A1 Starters;Clothes
sock;;Nouns;Pre A1 Starters;Clothes
wear;;Verbs irregular;Pre A1 Starters;Clothes
silk;;adjective & noun;B1 Preliminar;Clothes
belt;;noun;B1 Preliminar;Clothes
boot;;noun;B1 Preliminar;Clothes
coat;;noun;B1 Preliminar;Clothes
shoe;;noun;B1 Preliminar;Clothes
size;;noun;B1 Preliminar;Clothes
ring;;noun & verb;B1 Preliminar;Clothes
suit;;noun & verb;B1 Preliminar;Clothes
knit;;verb;B1 Preliminar;Clothes
blue;;adjective & noun;B1 Preliminar;Colours
pink;;adjective & noun;B1 Preliminar;Colours
blue;;Adjectives;Pre A1 Starters;Colours
gray;;Adjectives;Pre A1 Starters;Colours
grey;;Adjectives;Pre A1 Starters;Colours
pink;;Adjectives;Pre A1 Starters;Colours
spot;;Nouns;A1 Movers;Colours
blog;;noun;B1 Preliminar;Communications and Technology
data;;noun;B1 Preliminar;Communications and Technology
file;;noun;B1 Preliminar;Communications and Technology
chat;;noun & verb;B1 Preliminar;Communications and Technology
dial;;verb;B1 Preliminar;Communications and Technology
drag;;verb;B1 Preliminar;Communications and Technology
bell;;noun;B1 Preliminar;Education
desk;;noun;B1 Preliminar;Education
mark;;noun;B1 Preliminar;Education
term;;noun;B1 Preliminar;Education
book;;noun & verb;B1 Preliminar;Education
note;;noun & verb;B1 Preliminar;Education
talk;;noun & verb;B1 Preliminar;Education
test;;noun & verb;B1 Preliminar;Education
text;;noun & verb;B1 Preliminar;Education
know;;verb;B1 Preliminar;Education
read;;verb;B1 Preliminar;Education
band;;noun;B1 Preliminar;Entertainment and Media
card;;noun;B1 Preliminar;Entertainment and Media
exit;;noun;B1 Preliminar;Entertainment and Media
hero;;noun;B1 Preliminar;Entertainment and Media
news;;noun;B1 Preliminar;Entertainment and Media
plot;;noun;B1 Preliminar;Entertainment and Media
poem;;noun;B1 Preliminar;Entertainment and Media
quiz;;noun;B1 Preliminar;Entertainment and Media
star;;noun;B1 Preliminar;Entertainment and Media
film;;noun & verb;B1 Preliminar;Entertainment and Media
play;;noun & verb;B1 Preliminar;Entertainment and Media
draw;;verb;B1 Preliminar;Entertainment and Media
aunt;;Nouns;A1 Movers;Family & friends
baby;;Nouns;Pre A1 Starters;Family & friends
girl;;Nouns;Pre A1 Starters;Family & friends
live;;Verbs regular;Pre A1 Starters;Family & friends
wife;;Nouns;A2 Flyers;Family & friends
bean;;Nouns;Pre A1 Starters;Food & drink
bowl;;Nouns;A1 Movers;Food & drink
cake;;Nouns;Pre A1 Starters;Food & drink
food;;Nouns;Pre A1 Starters;Food & drink
fork;;Nouns;A2 Flyers;Food & drink
kiwi;;Nouns;Pre A1 Starters;Food & drink
lime;;Nouns;Pre A1 Starters;Food & drink
meal;;Nouns;A1 Movers;Food & drink
meat;;Nouns;Pre A1 Starters;Food & drink
milk;;Nouns;Pre A1 Starters;Food & drink
pear;;Nouns;Pre A1 Starters;Food & drink
rice;;Nouns;Pre A1 Starters;Food & drink
salt;;Nouns;A1 Movers;Food & drink
soup;;Nouns;A1 Movers;Food & drink
sour;;adjective;B1 Preliminar;Food & drink
bean;;noun;B1 Preliminar;Food & drink
bowl;;noun;B1 Preliminar;Food & drink
cake;;noun;B1 Preliminar;Food & drink
chef;;noun;B1 Preliminar;Food & drink
cola;;noun;B1 Preliminar;Food & drink
corn;;noun;B1 Preliminar;Food & drink
diet;;noun;B1 Preliminar;Food & drink
dish;;noun;B1 Preliminar;Food & drink
duck;;noun;B1 Preliminar;Food & drink
food;;noun;B1 Preliminar;Food & drink
fork;;noun;B1 Preliminar;Food & drink
lamb;;noun;B1 Preliminar;Food & drink
meal;;noun;B1 Preliminar;Food & drink
meat;;noun;B1 Preliminar;Food & drink
menu;;noun;B1 Preliminar;Food & drink
milk;;noun;B1 Preliminar;Food & drink
pear;;noun;B1 Preliminar;Food & drink
rice;;noun;B1 Preliminar;Food & drink
roll;;noun;B1 Preliminar;Food & drink
salt;;noun;B1 Preliminar;Food & drink
soup;;noun;B1 Preliminar;Food & drink
tuna;;noun;B1 Preliminar;Food & drink
fish;;noun & verb;B1 Preliminar;Food & drink
cold;;Nouns;A1 Movers;Health
fine;;Adjectives;A1 Movers;Health
sick;;Adjectives;A1 Movers;Health
dead;;adjective;B1 Preliminar;Health
sick;;adjective;B1 Preliminar;Health
hurt;;adjective & verb;B1 Preliminar;Health
ache;;noun;B1 Preliminar;Health
baby;;noun;B1 Preliminar;Health
body;;noun;B1 Preliminar;Health
bone;;noun;B1 Preliminar;Health
chin;;noun;B1 Preliminar;Health
face;;noun;B1 Preliminar;Health
foot;;noun;B1 Preliminar;Health
hair;;noun;B1 Preliminar;Health
head;;noun;B1 Preliminar;Health
heel;;noun;B1 Preliminar;Health
knee;;noun;B1 Preliminar;Health
nose;;noun;B1 Preliminar;Health
pain;;noun;B1 Preliminar;Health
skin;;noun;B1 Preliminar;Health
soap;;noun;B1 Preliminar;Health
comb;;noun & verb;B1 Preliminar;Health
fall;;noun & verb;B1 Preliminar;Health
hand;;noun & verb;B1 Preliminar;Health
swim;;noun & verb;B1 Preliminar;Health
feel;;verb;B1 Preliminar;Health
bike;;noun;B1 Preliminar;Hobbies and Leisure
club;;noun;B1 Preliminar;Hobbies and Leisure
doll;;noun;B1 Preliminar;Hobbies and Leisure
pill;;noun;B1 Preliminar;Hobbies and Leisure
rope;;noun;B1 Preliminar;Hobbies and Leisure
tent;;noun;B1 Preliminar;Hobbies and Leisure
camp;;noun & verb;B1 Preliminar;Hobbies and Leisure
hire;;noun & verb;B1 Preliminar;Hobbies and Leisure
park;;noun & verb;B1 Preliminar;Hobbies and Leisure
walk;;noun & verb;B1 Preliminar;Hobbies and Leisure
hike;;verb;B1 Preliminar;Hobbies and Leisure
flat;;adjective & noun;B1 Preliminar;House and Home
home;;adverb & noun;B1 Preliminar;House and Home
bulb;;noun;B1 Preliminar;House and Home
door;;noun;B1 Preliminar;House and Home
gate;;noun;B1 Preliminar;House and Home
hall;;noun;B1 Preliminar;House and Home
lamp;;noun;B1 Preliminar;House and Home
line;;noun;B1 Preliminar;House and Home
oven;;noun;B1 Preliminar;House and Home
path;;noun;B1 Preliminar;House and Home
pipe;;noun;B1 Preliminar;House and Home
roof;;noun;B1 Preliminar;House and Home
room;;noun;B1 Preliminar;House and Home
seat;;noun;B1 Preliminar;House and Home
sofa;;noun;B1 Preliminar;House and Home
step;;noun;B1 Preliminar;House and Home
vase;;noun;B1 Preliminar;House and Home
wall;;noun;B1 Preliminar;House and Home
iron;;noun & verb;B1 Preliminar;House and Home
lift;;noun & verb;B1 Preliminar;House and Home
lock;;noun & verb;B1 Preliminar;House and Home
plug;;noun & verb;B1 Preliminar;House and Home
rent;;noun & verb;B1 Preliminar;House and Home
sink;;noun & verb;B1 Preliminar;House and Home
word;;noun;B1 Preliminar;Language
joke;;noun & verb;B1 Preliminar;Language
mean;;verb;B1 Preliminar;Language
tell;;verb;B1 Preliminar;Language
card;;Nouns;A1 Movers;Materials
gold;;Nouns;A1 Movers;Materials
wool;;Nouns;A2 Flyers;Materials
pair;;Nouns;A1 Movers;Numbers
able;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
busy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
calm;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
cute;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
easy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
fond;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
glad;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
good;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
keen;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
lazy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
nice;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
poor;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
real;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
rich;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
rude;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
slim;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
slow;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
soft;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
tall;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
true;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
free;;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
hard;;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
high;;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
sure;;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
well;;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
fine;;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
kind;;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
cool;;adjective & verb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
bank;;Nouns;A1 Movers;Places
east;;Nouns;A2 Flyers;Places
farm;;Nouns;A1 Movers;Places
here;;Adverbs;Pre A1 Starters;Places
left;;Nouns;A1 Movers;Places
near;;Adverbs;A1 Movers;Places
over;;Adverbs;A2 Flyers;Places
park;;Nouns;A1 Movers;Places
path;;Nouns;A2 Flyers;Places
post;;Nouns;A2 Flyers;Places
shop;;Nouns;A1 Movers;Places
west;;Nouns;A2 Flyers;Places
bank;;noun;B1 Preliminar;Places
ruin;;noun;B1 Preliminar;Places
shop;;noun & verb;B1 Preliminar;Places
area;;noun;B1 Preliminar;Places
farm;;noun;B1 Preliminar;Places
hill;;noun;B1 Preliminar;Places
lake;;noun;B1 Preliminar;Places
port;;noun;B1 Preliminar;Places
rock;;noun;B1 Preliminar;Places
sand;;noun;B1 Preliminar;Places
wood;;noun;B1 Preliminar;Places
land;;noun & verb;B1 Preliminar;Places
road;;noun;B1 Preliminar;Places
town;;noun;B1 Preliminar;Places
desk;;Nouns;Pre A1 Starters;School
door;;Nouns;Pre A1 Starters;School
find;;Verbs irregular;A1 Movers;School
flag;;Nouns;A2 Flyers;School
glue;;Nouns;A1 Movers;School
line;;Nouns;Pre A1 Starters;School
look;;Verbs;Pre A1 Starters;School
math;;Nouns;A2 Flyers;School
open;;Nouns;A2 Flyers;School
page;;Nouns;Pre A1 Starters;School
part;;Nouns;Pre A1 Starters;School
tell;;Verbs irregular;Pre A1 Starters;School
tick;;Nouns;Pre A1 Starters;School
wall;;Nouns;Pre A1 Starters;School
word;;Nouns;Pre A1 Starters;School
dear;;adjective;B1 Preliminar;Shopping
bill;;noun;B1 Preliminar;Shopping
cash;;noun;B1 Preliminar;Shopping
cent;;noun;B1 Preliminar;Shopping
euro;;noun;B1 Preliminar;Shopping
logo;;noun;B1 Preliminar;Shopping
mall;;noun;B1 Preliminar;Shopping
save;;verb;B1 Preliminar;Shopping
sell;;verb;B1 Preliminar;Shopping
ball;;noun;B1 Preliminar;Sports & leisure
boat;;noun;B1 Preliminar;Sports & leisure
game;;noun;B1 Preliminar;Sports & leisure
golf;;noun;B1 Preliminar;Sports & leisure
luck;;noun;B1 Preliminar;Sports & leisure
team;;noun;B1 Preliminar;Sports & leisure
yoga;;noun;B1 Preliminar;Sports & leisure
jump;;noun & verb;B1 Preliminar;Sports & leisure
race;;noun & verb;B1 Preliminar;Sports & leisure
surf;;verb;B1 Preliminar;Sports & leisure
band;;Nouns;A1 Movers;Sports & leisure
book;;Nouns;A1 Movers;Sports & leisure
club;;Nouns;A1 Movers;Sports & leisure
draw;;Verbs irregular;Pre A1 Starters;Sports & leisure
drum;;Nouns;A2 Flyers;Sports & leisure
fish;;Nouns;Pre A1 Starters;Sports & leisure
goal;;Nouns;A1 Movers;Sports & leisure
golf;;Nouns;A1 Movers;Sports & leisure
join;;Verbs;A2 Flyers;Sports & leisure
jump;;Verbs regular;Pre A1 Starters;Sports & leisure
kick;;Nouns;A1 Movers;Sports & leisure
kite;;Nouns;Pre A1 Starters;Sports & leisure
meet;;Verbs irregular;A2 Flyers;Sports & leisure
play;;Verbs regular;Pre A1 Starters;Sports & leisure
pool;;Nouns;A1 Movers;Sports & leisure
quiz;;Nouns;A2 Flyers;Sports & leisure
race;;Nouns;A2 Flyers;Sports & leisure
read;;Verbs irregular;Pre A1 Starters;Sports & leisure
sail;;Nouns;A1 Movers;Sports & leisure
sing;;Verbs irregular;Pre A1 Starters;Sports & leisure
skip;;Verbs regular;A1 Movers;Sports & leisure
song;;Nouns;Pre A1 Starters;Sports & leisure
take;;Verbs irregular;A1 Movers;Sports & leisure
team;;Nouns;A2 Flyers;Sports & leisure
tent;;Nouns;A2 Flyers;Sports & leisure
text;;Nouns;A1 Movers;Sports & leisure
tire;;Nouns;A2 Flyers;Sports & leisure
tune;;Nouns;A2 Flyers;Sports & leisure
tyre;;Nouns;A2 Flyers;Sports & leisure
walk;;Nouns;A1 Movers;Sports & leisure
wild;;adjective;B1 Preliminar;The Natural World
east;;adjective & adverb & noun;B1 Preliminar;The Natural World
west;;adjective & adverb & noun;B1 Preliminar;The Natural World
bird;;noun;B1 Preliminar;The Natural World
bush;;noun;B1 Preliminar;The Natural World
cave;;noun;B1 Preliminar;The Natural World
fire;;noun;B1 Preliminar;The Natural World
frog;;noun;B1 Preliminar;The Natural World
leaf;;noun;B1 Preliminar;The Natural World
lion;;noun;B1 Preliminar;The Natural World
moon;;noun;B1 Preliminar;The Natural World
tree;;noun;B1 Preliminar;The Natural World
wool;;noun;B1 Preliminar;The Natural World
grow;;verb;B1 Preliminar;The Natural World
