palabra;definicion;grammatical;nivel2;tematica;nivel
hidden;;adjective;B1 Preliminar;;
honest;;adjective;B1 Preliminar;;
indoor;;adjective;B1 Preliminar;;
latest;;adjective;B1 Preliminar;;
likely;;adjective;B1 Preliminar;;
lively;;adjective;B1 Preliminar;;
lonely;;adjective;B1 Preliminar;;
medium;;adjective;B1 Preliminar;;
narrow;;adjective;B1 Preliminar;;
polite;;adjective;B1 Preliminar;;
proper;;adjective;B1 Preliminar;;
recent;;adjective;B1 Preliminar;;
scared;;adjective;B1 Preliminar;;
silent;;adjective;B1 Preliminar;;
simple;;adjective;B1 Preliminar;;
sleepy;;adjective;B1 Preliminar;;
smooth;;adjective;B1 Preliminar;;
social;;adjective;B1 Preliminar;;
sticky;;adjective;B1 Preliminar;;
strict;;adjective;B1 Preliminar;;
sudden;;adjective;B1 Preliminar;;
tiring;;adjective;B1 Preliminar;;
unfair;;adjective;B1 Preliminar;;
unkind;;adjective;B1 Preliminar;;
unsure;;adjective;B1 Preliminar;;
untidy;;adjective;B1 Preliminar;;
unwell;;adjective;B1 Preliminar;;
urgent;;adjective;B1 Preliminar;;
wooden;;adjective;B1 Preliminar;;
digital;;adjective;B1 Preliminar;Communications and Technology;
engaged;;adjective;B1 Preliminar;Communications and Technology;
grilled;;adjective;B1 Preliminar;Food & drink;
thirsty;;adjective;B1 Preliminar;Food & drink;
painful;;adjective;B1 Preliminar;Hobbies and Leisure;
amazing;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
amusing;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
annoyed;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
anxious;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
ashamed;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
awesome;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
careful;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
curious;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
excited;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
healthy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
jealous;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
married;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
nervous;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
relaxed;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
serious;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
special;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
strange;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
typical;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
worried;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
damaged;;adjective;B1 Preliminar;Shopping;
reduced;;adjective;B1 Preliminar;Shopping;
monthly;;adjective;B1 Preliminar;Time;
delayed;;adjective;B1 Preliminar;Transport;
foreign;;adjective;B1 Preliminar;Transport;
ancient;;adjective;B1 Preliminar;;
burning;;adjective;B1 Preliminar;;
central;;adjective;B1 Preliminar;;
certain;;adjective;B1 Preliminar;;
correct;;adjective;B1 Preliminar;;
crowded;;adjective;B1 Preliminar;;
dressed;;adjective;B1 Preliminar;;
eastern;;adjective;B1 Preliminar;;
elderly;;adjective;B1 Preliminar;;
general;;adjective;B1 Preliminar;;
hopeful;;adjective;B1 Preliminar;;
limited;;adjective;B1 Preliminar;;
missing;;adjective;B1 Preliminar;;
musical;;adjective;B1 Preliminar;;
natural;;adjective;B1 Preliminar;;
obvious;;adjective;B1 Preliminar;;
outdoor;;adjective;B1 Preliminar;;
perfect;;adjective;B1 Preliminar;;
pleased;;adjective;B1 Preliminar;;
popular;;adjective;B1 Preliminar;;
private;;adjective;B1 Preliminar;;
regular;;adjective;B1 Preliminar;;
selfish;;adjective;B1 Preliminar;;
shocked;;adjective;B1 Preliminar;;
similar;;adjective;B1 Preliminar;;
stylish;;adjective;B1 Preliminar;;
unknown;;adjective;B1 Preliminar;;
unlucky;;adjective;B1 Preliminar;;
various;;adjective;B1 Preliminar;;
western;;adjective;B1 Preliminar;;
willing;;adjective;B1 Preliminar;;
working;;adjective;B1 Preliminar;;
written;;adjective;B1 Preliminar;;
advanced;;adjective;B1 Preliminar;Education;
romantic;;adjective;B1 Preliminar;Entertainment and Media;
recycled;;adjective;B1 Preliminar;Environment;
charming;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
cheerful;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
confused;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
exciting;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
friendly;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
generous;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
negative;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
ordinary;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
original;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
personal;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
pleasant;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
positive;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
reliable;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
relieved;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
terrible;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
freezing;;adjective;B1 Preliminar;Weather;
accurate;;adjective;B1 Preliminar;;
careless;;adjective;B1 Preliminar;;
creative;;adjective;B1 Preliminar;;
cultural;;adjective;B1 Preliminar;;
disabled;;adjective;B1 Preliminar;;
electric;;adjective;B1 Preliminar;;
enormous;;adjective;B1 Preliminar;;
frequent;;adjective;B1 Preliminar;;
furthest;;adjective;B1 Preliminar;;
gorgeous;;adjective;B1 Preliminar;;
grateful;;adjective;B1 Preliminar;;
handsome;;adjective;B1 Preliminar;;
historic;;adjective;B1 Preliminar;;
hopeless;;adjective;B1 Preliminar;;
horrible;;adjective;B1 Preliminar;;
national;;adjective;B1 Preliminar;;
northern;;adjective;B1 Preliminar;;
peaceful;;adjective;B1 Preliminar;;
possible;;adjective;B1 Preliminar;;
powerful;;adjective;B1 Preliminar;;
pregnant;;adjective;B1 Preliminar;;
prepared;;adjective;B1 Preliminar;;
previous;;adjective;B1 Preliminar;;
sensible;;adjective;B1 Preliminar;;
separate;;adjective;B1 Preliminar;;
shocking;;adjective;B1 Preliminar;;
situated;;adjective;B1 Preliminar;;
sociable;;adjective;B1 Preliminar;;
southern;;adjective;B1 Preliminar;;
stressed;;adjective;B1 Preliminar;;
suitable;;adjective;B1 Preliminar;;
talented;;adjective;B1 Preliminar;;
terrific;;adjective;B1 Preliminar;;
unlikely;;adjective;B1 Preliminar;;
valuable;;adjective;B1 Preliminar;;
secondary;;adjective;B1 Preliminar;Education;
classical;;adjective;B1 Preliminar;Entertainment and Media;
delicious;;adjective;B1 Preliminar;Food & drink;
dangerous;;adjective;B1 Preliminar;Health;
beautiful;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
brilliant;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
confident;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
confusing;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
delighted;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
depressed;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
different;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
difficult;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
enjoyable;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
excellent;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
fantastic;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
important;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
miserable;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
realistic;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
satisfied;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
surprised;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
wonderful;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
expensive;;adjective;B1 Preliminar;Shopping;
available;;adjective;B1 Preliminar;;
colourful;;adjective;B1 Preliminar;;
easygoing;;adjective;B1 Preliminar;;
efficient;;adjective;B1 Preliminar;;
essential;;adjective;B1 Preliminar;;
exhausted;;adjective;B1 Preliminar;;
financial;;adjective;B1 Preliminar;;
following;;adjective;B1 Preliminar;;
forbidden;;adjective;B1 Preliminar;;
full-time;;adjective;B1 Preliminar;;
hand-held;;adjective;B1 Preliminar;;
incorrect;;adjective;B1 Preliminar;;
left-hand;;adjective;B1 Preliminar;;
necessary;;adjective;B1 Preliminar;;
part-time;;adjective;B1 Preliminar;;
permanent;;adjective;B1 Preliminar;;
permitted;;adjective;B1 Preliminar;;
political;;adjective;B1 Preliminar;;
principal;;adjective;B1 Preliminar;;
qualified;;adjective;B1 Preliminar;;
sparkling;;adjective;B1 Preliminar;;
stressful;;adjective;B1 Preliminar;;
suprising;;adjective;B1 Preliminar;;
temporary;;adjective;B1 Preliminar;;
terrified;;adjective;B1 Preliminar;;
unhealthy;;adjective;B1 Preliminar;;
elementary;;adjective;B1 Preliminar;Education;
prohibited;;adjective;B1 Preliminar;Environment;
frightened;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
interested;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
reasonable;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
unemployed;;adjective;B1 Preliminar;Work;
acceptable;;adjective;B1 Preliminar;;
attractive;;adjective;B1 Preliminar;;
convenient;;adjective;B1 Preliminar;;
disgusting;;adjective;B1 Preliminar;;
electrical;;adjective;B1 Preliminar;;
electronic;;adjective;B1 Preliminar;;
half-price;;adjective;B1 Preliminar;;
historical;;adjective;B1 Preliminar;;
impossible;;adjective;B1 Preliminar;;
incredible;;adjective;B1 Preliminar;;
individual;;adjective;B1 Preliminar;;
marvellous;;adjective;B1 Preliminar;;
particular;;adjective;B1 Preliminar;;
right-hand;;adjective;B1 Preliminar;;
scientific;;adjective;B1 Preliminar;;
sleeveless;;adjective;B1 Preliminar;;
successful;;adjective;B1 Preliminar;;
underwater;;adjective;B1 Preliminar;;
unexpected;;adjective;B1 Preliminar;;
unfriendly;;adjective;B1 Preliminar;;
unpleasant;;adjective;B1 Preliminar;;
well-known;;adjective;B1 Preliminar;;
challenging;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
frightening;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
intelligent;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
interesting;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
inexpensive;;adjective;B1 Preliminar;Shopping;
comfortable;;adjective;B1 Preliminar;;
complicated;;adjective;B1 Preliminar;;
experienced;;adjective;B1 Preliminar;;
fashionable;;adjective;B1 Preliminar;;
independent;;adjective;B1 Preliminar;;
magnificent;;adjective;B1 Preliminar;;
middle-aged;;adjective;B1 Preliminar;;
responsible;;adjective;B1 Preliminar;;
spectacular;;adjective;B1 Preliminar;;
traditional;;adjective;B1 Preliminar;;
unimportant;;adjective;B1 Preliminar;;
unnecessary;;adjective;B1 Preliminar;;
intermediate;;adjective;B1 Preliminar;Education;
disappointed;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
embarrassing;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
face-to-face;;adjective;B1 Preliminar;;
satisfactory;;adjective;B1 Preliminar;;
self-service;;adjective;B1 Preliminar;;
unbelievable;;adjective;B1 Preliminar;;
uninterested;;adjective;B1 Preliminar;;
well-dressed;;adjective;B1 Preliminar;;
old-fashioned;;adjective;B1 Preliminar;Clothes;
disappointing;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
environmental;;adjective;B1 Preliminar;The Natural World;
extraordinary;;adjective;B1 Preliminar;;
international;;adjective;B1 Preliminar;;
uncomfortable;;adjective;B1 Preliminar;;
unforgettable;;adjective;B1 Preliminar;;
uninteresting;;adjective;B1 Preliminar;;
late;after the expected time;adjective & adverb;B1 Preliminar;;
later;at a time in the future;adjective & adverb;B1 Preliminar;;
early;before the expected time;adjective & adverb;B1 Preliminar;;
alone;by yourself;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
sure;certain or confident;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
high;extending far upward;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
well;in good health;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
free;not costing money or not restricted;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
hard;solid and firm or difficult;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
best;to best;adjective & adverb;B1 Preliminar;;
better;to better;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
daily;to daily;adjective & adverb;B1 Preliminar;Time;
deep;to deep;adjective & adverb;B1 Preliminar;;
fast;to fast;adjective & adverb;B1 Preliminar;;
first;to first;adjective & adverb;B1 Preliminar;;
least;to least;adjective & adverb;B1 Preliminar;;
next;to next;adjective & adverb;B1 Preliminar;;
online;to online;adjective & adverb;B1 Preliminar;Communications and Technology;
only;to only;adjective & adverb;B1 Preliminar;;
pretty;to pretty;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
still;to still;adjective & adverb;B1 Preliminar;;
worse;to worse;adjective & adverb;B1 Preliminar;;
worst;to worst;adjective & adverb;B1 Preliminar;;
weekly;;adjective & adverb;B1 Preliminar;Time;
nearby;;adjective & adverb;B1 Preliminar;;
further;;adjective & adverb;B1 Preliminar;;
straight;;adjective & adverb;B1 Preliminar;;
upstairs;;adjective & adverb;B1 Preliminar;;
overnight;;adjective & adverb;B1 Preliminar;Transport;
downstairs;;adjective & adverb;B1 Preliminar;House and Home;
second-hand;;adjective & adverb;B1 Preliminar;Shopping;
all;every one of something;adjective & adverb & determiner & pronoum;B1 Preliminar;;
last;to last;adjective & adverb & determiner & verb;B1 Preliminar;;
back;a back;adjective & adverb & noun;B1 Preliminar;;
extra;a extra;adjective & adverb & noun;B1 Preliminar;;
right;correct or a direction;adjective & adverb & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
north;the direction to the left of east;adjective & adverb & noun;B1 Preliminar;The Natural World;
east;the direction where the sun rises;adjective & adverb & noun;B1 Preliminar;The Natural World;
west;the direction where the sun sets;adjective & adverb & noun;B1 Preliminar;The Natural World;
south;the opposite of north;adjective & adverb & noun;B1 Preliminar;The Natural World;
left;the opposite of right;adjective & adverb & noun;B1 Preliminar;Transport;
opposite;;adjective & adverb & noun & preposition;B1 Preliminar;;
outside;;adjective & adverb & prep;B1 Preliminar;;
near;close to;adjective & adverb & preposition;B1 Preliminar;;
above;higher than;adjective & adverb & preposition;B1 Preliminar;;
round;to round;adjective & adverb & preposition;B1 Preliminar;;
same;to same;adjective & adverb & pronoum;B1 Preliminar;;
